"DONATION_MD5_HASH","DONATION_CONTACT_ID","DONATION_TIMESTAMP","DONATION_TARGET","DONATION_CURRENCY","DONATION_AMOUNT","ERROR"
"1328-b9b107622def3a010b74602e7e500459","1328","2014-06-05T22:00:00.000Z","a074E000000Hz57QAC","NOK","9345","Currency ISO Code: invalid currency code: NOK"
"1328-0f5a7db84e9202c28dd451c0d8ef3449","1328","2014-06-05T22:00:00.000Z","a0758000002kNNlAAM","NOK","18250","Currency ISO Code: invalid currency code: NOK"
"1328-384a6318951f2ce297344bf5dae5a302","1328","2013-06-05T22:00:00.000Z","a0758000002kNDHAA2","NOK","4281","Currency ISO Code: invalid currency code: NOK"
"1328-2c31e1d5aed41448e5a35d11f7d0ce82","1328","2015-06-05T22:00:00.000Z","a0758000002kNNlAAM","NOK","13357","Currency ISO Code: invalid currency code: NOK"
"1328-39201f0f7eb6e76a09786968732226a1","1328","2015-06-05T22:00:00.000Z","a074E000000Hz57QAC","NOK","3300","Currency ISO Code: invalid currency code: NOK"
"5884-5df612178397fde97694941bfe6b0102","5884","2016-01-19T23:00:00.000Z","a0758000002kNF9AAM","NOK","1300","Currency ISO Code: invalid currency code: NOK"
"5884-39062e0759899e57528251f9b5110bfc","5884","2015-12-30T23:00:00.000Z","a074E000000Hz57QAC","NOK","4683","Currency ISO Code: invalid currency code: NOK"
"5972-6323641f6cccea0c1343c2f4dbacb0ab","5972","2016-02-13T23:00:00.000Z","a0758000002kNDHAA2","NOK","2088.64","Currency ISO Code: invalid currency code: NOK"
"5972-45f4e7719bfacdf033c2f0db86158277","5972","2016-02-13T23:00:00.000Z","a0758000002kNHwAAM","NOK","438.1","Currency ISO Code: invalid currency code: NOK"
"5972-8385e67943b5f54634ffe73ef96c2c7c","5972","2016-02-13T23:00:00.000Z","a0758000002kNHLAA2","NOK","1012.66","Currency ISO Code: invalid currency code: NOK"
"5972-11c132111f23b5d6a461c0a01669c7ef","5972","2016-02-13T23:00:00.000Z","a074E000000Hz57QAC","NOK","600","Currency ISO Code: invalid currency code: NOK"
"4478-e569c8d1d15bca0aa6cd7f3b268a1079","4478","2016-02-22T23:00:00.000Z","a0758000002kNNlAAM","NOK","7000","Currency ISO Code: invalid currency code: NOK"
"4478-1cdd2b26543d534fefcbcea832356d57","4478","2016-04-30T22:00:00.000Z","a0758000002kNNlAAM","NOK","36000","Currency ISO Code: invalid currency code: NOK"
"11073-08b6d652504f832123801a7560d37251","11073","2014-01-20T23:00:00.000Z","a074E000000Hz57QAC","NOK","2000","Currency ISO Code: invalid currency code: NOK"
